bug_id,summary
1857091,Default for Production branch in GitFlow should be main not master
1857324,"Old version of Pageant included with SourceTree 3.4.7, causes key loss"
1864175,Cannot add custom action
1867624,App crash trying to add existing repo
1866857,Force Push does not work anymore
1866497,Windows context menu colors for dark theme
1865997,Can not clone bitbucket Repo
1865985,Untracked branches cannot be pushed
1865846,Wrong Base64 Encoding - Sourcetree Authentication failed if password contains special characters (§ and german umlauts)
1865107,Checkbox 'push changes immediately' is greyed out and cannot be activated
1864998,Push screen does not show tracked branches
1864920,"App passsword works to get project list, but not read remote directory"
1829721,Graphics issues when mousing over the interface
1864636,Can't clone Bitbucket private repo on sourcetree
1791534,【crash】Cloning a newly created Gitlib project without branches or files sourcetree will crash
1864369,Tabs are not show when restart SourceTree.
1864105,Cannot execute Sourcetree after install...
1864135,Push extremely slow
1863896,Window starts halfway out of the screen (multiple screens)
1863902,Bitbucket Oauth and Basic Authentication Not Working After Following Resolution Steps
1863764,SourceTree - closes soon after the application starts.
1861981,Custom Action Bug happened between version 3.4.5 and 3.4.6 (trusted_tester)
1863503,Resolve Conflicts -> Mine/Theirs when popping from Stash both confirm commit id of last commit
1829069,"Buttons getting disappeared.. while I hover on commit,pull,fetch,stash.."
1863244,App Password is not working for an overseas user
1858740,Exception while tracking LFS extensions
1856992,"OAuth Fails, Unable to get Secret"
1855913,SourceTree Windows app crashes upon launch
1855509,Launch SSH agent fails code -1 with system git and OpenSSH
1855057,case sensitivity
1854630,Failed to list repositories for user [xxxxx]
1854676,Sourcetree error: Too many invalid password attempts. The requested URL returned error: 403
1854452,ssh-agent.exe taks to much CPU
1853496,Force push on repository with submodules does not work
1854027,Local Repositories  Bookmark Bar does not refresh
1852274,Clone crash when I put URL with SourceTree V3.4.7
1841594,git.exe fsmonitor process did not exit after close sourcetree 
1838232,Source Tree is Crashing without any message while cloning remote repository.
1743120,Not able to clone git repos
1837464,Errors During Installation
1794308,Source Tree for windows - v3.4.5:  security Vulnerability CVE-2018-1285 for log4net
1850264,Cloning Bitbucket Server Repo via HTTP crashes SourceTree app
1846787,Source Tree overlapping Taskbar Windows 11
1849451,branches checked out in different worktree not shown in the left panel
1847394,Stashes diff view only show one file
1847212,SourceTree does not start (as.atlassian.com)
1846087,Accounts for remote repo fails to connect 
1845502,"can not access repositories, authentication always fails"
1832394,unable to use sourcetree
1845162,Authentication Failed - Unable to resolve
1844069,http.proxy set to www.google.com:80 when set proxy to OS default
1843397,Failed to start (System.BadImageFormatException)
1843575,Bug in listing bitbucket repos
1843552,Spaces in File path of Custom Action
1841571,Crash when clone remote EMPTY (private) GitHUB repository
1821625,Cannot login during app start - webpage is down
1839311,Sourcetree crash on startup
1841166,Log 4j vulnerability
1839667,Sourcetree Graphics Problems
1838827,Sourcetree Stop during Clone -> advanced setting 
1838204,Multiple keys with same alias.
1836788,Folder icons for Local repositories overlap text
1836019,Cannot Remove Keys from SSH Agent
1832573,"In Windows 11 environment, minimizing the program and maximizing the program again will cause the page to crash"
1835788,Versionstring not update after auto-update
1835623,Denial of service when cloning an empty git repository
1835814,Cloning a repository that doesn't contain any branch and commit crashes the app
1834134,SourceTree crashes while trying to clone empty repository
1833836,Update-Dialog unreadable in Dark-mode
1833401,SourceTree doesn't open nor reinstall (after Windows 10 Update)
1832543,Choosing resolve using mine asks me to confirm that I want to resolve using theirs
1832257,V3.4.6 crashes in Clone dialog
1771391,Maximized window under taskbar
1831238,Issue with local repositories and tabs at startup
1831765,Issues when trtying to Authenticate. 
1821769,Sourcetree does not let me push to remote branch from by local branch
1831057,Issue with local repositories and tabs at startup
1823094,Unable to stage files or trunks when accented letters are present in the code
1818946,"Track of """"Clean"""" files doesn't work"
1803818,Sourcetree crashes
1813999,Commit button will not commit when adding a file
1815158,Text unreadable on password edit dialog in dark theme
1813934,Crash on editing remote
1804441,"Stash + """"Keep staged changes"""" does not keep changes"
1797993,Sourcetree is shipping outdated putty binaries
1796529,Can't install sourceTree v. 1.9.13.7
1797319,End the program when cloning from empty remote repository.
1797740,Move existing tag always fails with error
1796718,Open local repository by drag & drop does not work since 3.4.2
1796222,"Context menu options disappear, font is blurry"
1795802,Checksummed file size doesn't match during update
1791529,【crash】Cloning a newly created Gitlib project without branches or files sourcetree will crash
1795162,Checksummed file size doesn't match during update
1794394,Checksum error on update
1758415,Sourcetree constantly asks for GitHub credentials
1794578,"Unable to Run/Re-install Sourcetree - """"Sourcetree has stopped working"""""
1788469,Dictionary file blocks Sourcetree 2.3.1 from starting up
1780199,Identification
1776784,Context Menü on Files very unresponsive when LFS is activated on Repository
1776739,Resolve the problem with github OAuth authentification
1747166,Yoshi test
1776924,GUI glitch for many buttons
1773074,SourceTree Auto off
1775823,Closing a branch with one commit does not create a new commit
1770194,Latest v3.4.5 does not pull any remote tags
1773130,We use virustotal find sourcetree 3.4.5 has Trojan Horse on it
1770889,Remote option in source tree not working when click on that your windows source tree application crash 
1457969,"Source Tree External difference comparison, no response。"
1770958,Force push fails silently
1631956,Push popup has no branches listed and does not allow to proceed
1770603,"Patch-based staging (hunk, line) fails for non-UTF8 encoded files"
1738355,Data 
1770826,"Application crashes silently when opening a local repository, while running without admin privliges"
1479737,Sourcetree Log keeps complaining
1770381,SourceTree does not offer branches for pushing
1770350,git log failed
1770069,When do you update Putty?
1770333,"When I try clone my repo, the sourceTree crashed and closed"
1747168,"Dream It, Be It 2022"
1770320,"Unable to merge with GUI when the merge source branch name contains """",""""."
1770096,Commit message window resets
1770099,"Amend commit: """"Replace commit text?"""" dialog bug"
1770073,Can't push to github after access token changed
1770062,After setting my git account in sourcetree i am getting no unix socket support while pulling branch code
1480413,Adding extra characters after commit
1768542,Jump to commit by commit Id doesn't work with upper-case commit Ids
1769546,Support multiple SSH keys
1769545,SSH passphrase times out
1766340,Scroll amount in tab bar.
1769163,Files deleted after performing update of multiple files
1768378,Gitflow Not Supported
1768746,"Add repository by path doesn't normalize slashes making """"Open in Explorer"""" not to work"
1768917,"Modal dialog gets stuck behind main window, making program unusable"
1461536,Upload to confluence is broken!
1768529,Sourcetree will not start beyond splash screen
1768291,Git LFS not working when file locking option is set
1768220,SourceTree - Settings/Preferences not saved
1744395,SourceTree display error
1767902,"Make SourceTree reference the in-repo """"icon.png"""" in a way that allows deleting the file"
1767856,Spaces and tabs in diff views are displayed in the wrong position
1767910,SourceTree 3.4.5 crash on RepoHandlerGitOld.GetDefaultBranch
1767501,Failed to reverse merge commit
1749772,Backgroud refresh task cause mouse no response
1680038,"Crash on """"Show In Explorer"""""
1767425,SourceTree crashes when cloning a repository from BitBucket
1767194,AskPass.exe error
1766999,Crash when changing diff font size
1766786,sourcetree version 3.4.5 is bundling outdated pageant 0.70.2
1766763,Azure Devops auth not working
1766148,Force push setting is reset during upgrade 3.4.4 -> 3.4.5
1406049,"Context menu """"Open"""""
1765879,"After updating, system git no longer works with sourcetree"
1755071,Source Tree not getting started
1765341,support new format of PuttyGen Release 0.75
1765648,Commit log textbox problem with new version IME for Japanese
1765083,Show in Explorer reopens existing folder
1764613,Failed to check login for user
1753658,When changing Branch working tree files do not refresh
1763524,Push refspec not honored
1758495,Local branch does not appear in push dialog box
1758886,"Bug in the display when doing the """"git flow finish feature""""."
