bug_id,summary
1483955,Sourcetree Repos not showing up in remote tab
1405752,When a commit message is too long it bug splats
1483593,Show In Explorer Context Menu Always Disabled
1476067,Custom actions no longer work v3.3.8
1483475,crash on checkout by Bitbucket
1483473,not saving remote login data
1483446,Auto Update/Check For Updates updates only after many weeks/months
1480504,cannt commit
1482902,Repository does not get deleted as per selected in Local Repositories after filtering
1482380,Finish Feature loosing Feature Name
1482292,Remote connection problem
1481587,Language change from default results in sourcetree not updating automatically
1482036,Sourcetree for windows DOES NOT WORK for ALL VERSIONS after 3.1.3 with gerrit repositories.
1480831,Discard Lines bar is not sticky anymore
1480340,Not a valid Source path/URL
1479646,SourceTree doesn't refresh automatically 
1478447,Installation does not create Start Menu shortcuts
1477262,.gitignore включает основные файлы проекта в игнорируемые
1478309,"""""Open in Terminal"""" button not working anymore"
1477531,"Syntax highlighting is applied to """"No newline at end of file"""" notice"
1477464,First tab never refresh
1466794,Sourcetree (Win 3.3.6) Cannot Open Terminal
1477463,Error pushing new branches
1477251,Staged files are appeared only after click Refresh (F5)
1476609,Branches are not displayed when sending.
1477100,Sourcetree Windows 3.3.7 - staging / committing files is bugged
1476412,Source tree will not refresh
1475951,"Sourcetree created gigabytes of temp files while staging, committing"
1474489,Tabs are not refreshed automatically
1475380,Unable to clone GIT Repository
1475163,Terminal no longer opens
1474795,Stage selected button doesnt works
1474581,Sourcetree for windows DOES NOT WORK for ALL VERSIONS after 3.1.3 with gerrit repositories.
1473687,User interface doesn't respond
1474568,[Regression] Source tree 3.3.6 does not open up repository if a repository with same name is already open in a tab
1474396,file status is not refreshing
1474297,Some Bug in v3.3.7
1474371,Auto Refresh no longer working in 3.3.7
1473700,"Калькулятор: перевірка робти, соя."
1473702,"Калькулятор: перевірка робти, сарго."
1442591,WTF ??? Not display branches
1473698,"Калькулятор: перевірка робти термінал """"Миколаїв"""" Кукурудза"
1473697,"Калькулятор: перевірка робти термінал """"Миколаїв"""" Пшениця 4 клас"
1473696,Калькулятор скидок: невірні дані при розрахунку пшениці 4 клас.
1473684,"Калькулятор: перевірка робти термінал """"Миколаїв"""" Пшениця 3 клас"
1472940,Upgrade to 3.3.6 has major problems
1472770,git log failed with code -1: Access is denied
1447724,"trusted_tester , Bug UI"
1472396,Warning on remote icon
1413164,The adjustable border line between staged and unstaged sections is 1 pixel wide
1470312,Sourcetree history does not update and UI does not update after you Stage files or do a commit on a second monitor
1471639,file status screen doesn't automatically updated after update 3.3.7
1472413,"Sourcetree version 3.3.6 (latest) - cannot update branches, stage files etc until force refresh"
1470500,First tab custom name reverts to default after closing Sourcetree
1472338,Didcount calculator unclear error message when entering letters into index field
1468274,UI Refresh
1472313,Failure to update display after operations
1469273,UI Refresh Broken in 3.3.6
1471543,Facing issues with Windows 10
1470996,Azure Devops Account don't respect full url
1470986,cannot update my sourcetree 3.2.6
1471066,Staging and unstaging files no longer updates the views.
1470782,UI not responding in 3.3.6
1466174,Sourcetree cache images moved to recycle bin rather than deleted permanently 
1468031,Very high CPU usage on entering a commit message
1469230,Main Sourcetree window doesn't update automatically
1466036,Can't use SourceTree or fully log in
1469653,---
1469643,Refresh not working at all (AFAICT)
1468910,Issues with Sourcetree and Applocker
1468762,Staging or discarding lines
1468433,UI is not updated automatically v3.3.6
1468170,Automatic Refresh Seems Broken
1468068,Sourcetree (Win Ver 3.3.6) does not update its display after performing an action
1468067,SourceTree unusuable after updating to latest ver (I'm on 3.3.6)
1467339,Latest version does not detect changes in files
1466891,Sourcetree file status is not refreshing
1442516,test
1467266,Terminal Is Not Opened
1459972," download the application """"UKRzalіznitsya"""""
1467260,SourceTree 3.3.6 Does Not Authenticate
1467013,"After updating to 3.3.6, file status windows do not update after any action taken"
1467061,uninstall windows version doesn't uninstall the code in /Users/../AppData/Local
1467060,Views don't update after an action.
1467038,Stage/Unstage failing to move files
1467025,SourceTree User Interface does not refresh automatically in a fresh Win 10 install
1466588,Cannot install SourceTree on windows 10
1465594,Hunk section header color
1466552,SourceTree W10 not refreshing GUI on any action
1464525,"No Auto Refresh, Only manual refresh "
1465365,Sourcetree did not start with the last Windows update 2019-KB4533002
1464794,UI is showing out of date state
1464004,installation and registration issue
1463759,Sourcetree forgets the account type for a repository
1463745,DigiCert Certificate Expired
1463915,"Icon on Windows 7 isn't right, nor is shortcut"
1461971,View not refreshing
1463153,Operations require manual refresh (F5) to show updates in commit/branch panels
1462357,Can no longer stage changes from working directory during Create Patch
1459958,"App for Ios """"Железнодорожные билеты"""": Empty Cart after canceling payment"
1460413,SourceTree hangs on pull or fetch
1460447,Focus is lost on dialog buttons 
1461785,Missing OAUTH scope
1461681, incorrect recording when rotating the screen
1461680,"""""Укрзалізниця"""" application: language issue"
1461859,Укрзалізниця mobile application: ability to choose a month on 'Напрямок' tab disappears when trying to chose previous mounth
1461635,Automatic Refresh on File Change is Not Working
1460006,Sourcetree crashes if local git settings are invalid
1460182,Update Embedded is not downloading the latest Git For Windows release
1450715,Auto Refresh doesn't work when files are changing (Version:  3.3.6.3829)
1460047,Mercurial HG doesn't work anymore with version 3.3.6
1459950,"App for Ios """"Железнодорожные билеты"""": Empty Cart after canceling payment"
1459942,"App for Ios """"Железнодорожные билеты"""": Empty Cart after canceling payment"
1436786,Finish hotfix didn't merge to develop
1455741,SourceTree often converts repository remote from BitBucket to Generic
1420836,On push not select baranches
1459423,"Issue while install process, logging with Bitbucket account"
1438251,Git not found error
1458257,AskPass error dialog (0xc0000142) keeps popping up over other apps
1458164,Feature can't be closed from git-flow
1435922,can not select any brance when git submit
1457972,SourceTree does not open
1456951,Application slows down and eventually crashes when not shut down for a couple of days
1456738,Custom Actions is not working when set parameter multiple
1454783,Unable to update the source tree version
1456554,Terminal button (and menu) fails to open Git Bash
1452188,SourceTree installation
1456319,Commit text Links are reset when opening SourceTree
1455742,Sourcetree crashes when using URL Action
1455714,SourceTree forgets my bitbucket authentication
1455423,Sourcetree Install and Registration windows does not advance to next screen
1454787,Unable to push to github org account from sourcetree
1454596,Permanently loosing repository configuration 
1452996,Code signing timestamp is missing from SourceTree v3.2.6
1454532,SourceTree installer fails in Windows 10 as signing certificate has expired (and corporate policy requires valid certificate)
1432318,Sourcetree crashes after update
1453930,Empty local branch name when pushing new branch
1453507,Error when using check for version functionality from the optons  menu
1453519,unable to use sourcetree to upload local programming into bitbucket
1453204,Remote Account Type Reverting to Unknown
1443406,Remote (Host Root URL) is not being saved and displays error
1453124,Application isnt showing changes in dark mode.
1452924,100% load on one core when typing commit message
1452074,Push dialog empty
1451799,Provide Re-Authentication window when push return access denied. 
1417868,On push not select baranches
1447533,Commit text links are lost when closing and reopening app
1451766,Cannot select multiple branches
1451263,Crash when attempting to initiate Gitlab-EE pull request
1449317,"After click menu item """"Copy Path To Clipboard"""" app hangs on several seconds"
1450944,"Endless """"Loading x commits to reach commit y"""" when filter is on"
1449726,Cannot open local repo when repo is a submodule open in another tab
1447168,"Application Crash When Using """"Checkout In SourceTree"""" from BitBucket Server"
1446284,Selecting of train direction: black rectangle after confirming empty field in destination search
1420981,SourceTree (current Version on 2019-10-10) shows number on tabs without any reason
1446136,SourceTree not showing Bitbucket repositories
1445912,Bug found in sourcetree 3.2.6
1445607,"Lack """"go back"""" button in """"Return tickets"""" form"
1445528,All Branches / Current Branch Dropdown doesn't remember choice
1444053,Taskbar not accessible when SourceTree is in full screen
1444846,Always update repository github address when launch sourcetree
1431925,Push to form is committing to master repository
1444632,Ошибка данных 2
1444631,Ошибка при вводе данных
1444629,Калькулятор скидки: Не верный рассчет
1444727,Калькулятор скидки: не правильный расчет.
1443379,Text cursor disappears in commit message text area
1442712,ver 3.3.4  Can not Push new Branch unless I check/uncheck/check again the Branch to get the Remote name filled
1442187,Not able to login in IE 11 version on id.atlassian.com
1221809,Unable to add Azure DevOps Remote Account using SourceTree 3.1.3
1440466, out of ram with help of Git Credential Manager for Windows
1440159,Remote account reset at every restart
1439144,Error message when creating pull request (v3.3.4)
1437707,Upgrade SourceTree not possible if proxy is configured but not available
1437527,Couldn't push the Git-flow generated branches.
1436087,can not select any branch when git push
1437436,Custom Actions sub-menu missing from context menu in Sourcetree 3.3.4
1437224,Wrong translation
1436112,Not able to check out remote branch with pipe (vertical line) character
1435827,UI completely unusable due to delays in rendering code
1435680,Launching a second instance of Sourcetree crashes
1435576,Can't use sourcetree because of space in user name
1435179,Remote connection not working
1435031,Default Web Browser Not Recognized - Source Tree
1431350,SourceTree Login in after Installing on Window 10 is loading for ever.
1434394,Bug Splat on commit
1434207,"After commit, the file that I want to Push disappears"
1432834,Version 4.0 breaking Dark Mode switching
1431651,This is not a valid source path / URL
1431310,Remotes are no longer refreshing automatically
1430837,Push Branches option update is not saved.
1423119,Can't access bitbucket using sourcetree
1427155,"Branches, tags, remotes hard to read in high-contrast mode"
1429762,SourceTree CAPTCHA Error
1420982,"Numbers on tabs, but nothing to pull or commit/push...?"
1428970,"""""Железнодорожные билеты"""" incorrect functionality of """"Mail to"""" option"
1407769,Problems when pushing and pulling
1428966,"""""Железнодорожные билеты"""" non swipeable tabs in """"Билеты"""" app option in IOS version "
1427773,"""""Железнодорожные билеты"""" incorrect functionality of """"Mail to"""" option"
1427768,"""""Железнодорожные билеты"""" non swipeable tabs in """"Билеты"""" app option in IOS version"
1427338,Unreadable text in high contrast mode
1424638,The History Search Is Almost Worthless
1422813,Special Unicode Character in Filename
1422148,Tank's fire function is not working when you standing in left bottom corner
1420880,"""""Refresh automatically when file changes"""" and """"Refresh when application is not in focus"""" doesn't work"
1420634,CAPTCHA ERROR
1419912,Hidden scrollbar on the History tab
1419179,Custom Actions broken in Beta-3.3.0-3678
1417860,Can't use both $ SHA and $ FILE in custom actions.
1410755,Cherry-pick does not provide an option to push the commit
1419020,Remote Repositories List Empty (Bitbucket private server)
1418883,External Diff not working anymore
1417776,push error
1417722,Sourcetree does not register local file changes
1417248,Misleading popup dialog when amending commit
1414418,Not able to connect Bitbucket server from Source Tree client 
1413668,New branch through hg flow throws error
1411131,Git flow not automatically branching from correct branch
1409106,Code scroll not proper in horizontal way
1408239,SourceTree ignores case on Branch name and pushes 'new' branch
1408182,Custom chrome issue on hi-dpi screen
1407410,ree view: folders partially selected should be ticked with a grey tick
1407086,Push new branch to remote doesn't work
1406858,Remote not showing private GitHub repos
1406387,Not able to connect with AWS CodeCommit
1406664,Sourcetree Windows app v. 3.2.6 keeps crashing on commit
1406052,Double-clicking a project to open it moves the project from its current folder to “no folder” 
1404853,Using external working directory causes staging changes to produces unpredictable results.
1404925,Merge aborted unexpectedly
1404820,SourceTree incorrectly reports that a file is not tracked for Git LFS.
